tool_number,serial_number,description,condition,location,category,status,requires_calibration,calibration_frequency_days,warehouse_id
DMM-003,DMM-SN-2023-156,Fluke 179 True RMS Multimeter,good,Tool Crib A-5,Electrical Test Equipment,available,true,180,1
SCOPE-001,SCOPE-SN-001,Digital Oscilloscope 100MHz 4-Channel,excellent,Avionics Shop - Electronics Lab,Electrical Test Equipment,available,true,365,1
JACK-Q400-001,JACK-Q400-SN-001,Q400 Main Landing Gear Jack - 25 Ton,excellent,Hangar 1 - Equipment Storage,Jacking Equipment,available,true,365,1
JACK-Q400-002,JACK-Q400-SN-002,Q400 Nose Landing Gear Jack - 10 Ton,excellent,Hangar 1 - Equipment Storage,Jacking Equipment,available,true,365,1
JACK-RJ85-001,JACK-RJ85-SN-001,RJ85 Wing Jack Set (Pair) - 30 Ton Each,good,Hangar 2 - Equipment Bay,Jacking Equipment,available,true,180,1
JACK-TAIL-001,JACK-TAIL-SN-001,Universal Tail Jack - Adjustable Height,good,Hangar 1 - Equipment Storage,Jacking Equipment,available,true,180,1
PRESS-CAL-001,PRESS-CAL-SN-001,Precision Pressure Calibrator 0-15000 PSI,excellent,Calibration Lab - Station 1,Calibration Equipment,available,true,90,1
PRESS-CAL-002,PRESS-CAL-SN-002,Digital Pressure Calibrator 0-3000 PSI,excellent,Calibration Lab - Station 2,Calibration Equipment,available,true,30,1
TEMP-CAL-001,TEMP-CAL-SN-001,Temperature Calibrator -50 to 1200°C,excellent,Calibration Lab - Station 3,Calibration Equipment,available,true,90,1
LEAK-TEST-001,LEAK-TEST-SN-001,Ultrasonic Leak Detector,good,Tool Crib B-12,Test Equipment,available,true,365,1
NDT-EDDY-001,NDT-EDDY-SN-001,Eddy Current Flaw Detector,excellent,NDT Lab - Station 1,NDT Equipment,available,true,180,1
NDT-UT-001,NDT-UT-SN-001,Ultrasonic Thickness Gauge,excellent,NDT Lab - Station 2,NDT Equipment,available,true,180,1
BALANCE-001,BALANCE-SN-001,Propeller Dynamic Balancer,excellent,Propeller Shop - Balance Room,Propeller Equipment,available,true,180,1
PROP-PROTRACTOR,PROP-PROTRACTOR-001,Propeller Blade Angle Protractor - Digital,excellent,Propeller Shop - Bench 1,Propeller Equipment,available,true,365,1
GPU-TEST-001,GPU-TEST-SN-001,Ground Power Unit Load Tester,good,Ramp Equipment - Storage,Ground Support Equipment,available,true,365,1
FUEL-FLOW-001,FUEL-FLOW-SN-001,Fuel Flow Meter Calibration Stand,excellent,Fuel Shop - Test Bay,Fuel System Equipment,available,true,90,1

